mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,شمال الرياض,حي الملقا,3 شوارع,,30.0,6400,4500
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,20.0,747,2400
الرياض,غرب الرياض,حي المهدية,جنوب,,35.0,400,1400
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3900
الرياض,شمال الرياض,حي الملقا,4 شوارع,تجاري,36.0,21563,3000
الرياض,شمال الرياض,حي الصحافة,شمال غربي,سكني,15.0,300,3500
الخبر,,حي المرجان,شمال,تجاري,60.0,875,1097
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15.0,490,2250
الرياض,شرق الرياض,حي القادسية,جنوب,سكني,25.0,402,2300
الرياض,شمال الرياض,حي بنبان,غرب,,15.0,375,630
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25.0,500,3000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25.0,1025,3000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,375,3300
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,18.0,750,4100
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني أو تجاري,36.0,750,4200
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,15.0,300,2450
الرياض,شمال الرياض,حي الندى,شرق,سكني,15.0,750,3500
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,36.0,1087,3700
الخبر,,حي العقيق,شرق,سكني,20.0,500,870
الرياض,غرب الرياض,حي عرقة,غرب,سكني,20.0,625,3000
بريدة,,حي الرحاب,شمال شرقي,تجاري,40.0,6128,750
الرياض,شمال الرياض,حي حطين,شرق,سكني,19.0,700,4000
الخبر,,حي اللؤلؤ,شرق,سكني,30.0,1000,950
الخبر,,حي التحلية,جنوب غربي,,30.0,900,1250
الخبر,,حي اللؤلؤ,جنوب,سكني,20.0,1000,900
الرياض,شرق الرياض,حي السلام,شمال,سكني,20.0,337,2350
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15.0,982,3800
الرياض,شمال الرياض,حي الملقا,شرق,سكني,18.0,437,4300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,18.0,750,4100
الخبر,,حي الكوثر,غرب,سكني,40.0,770,909
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,312,3000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,312,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,446,4300
الرياض,شرق الرياض,حي السعادة,شمال غربي,سكني,20.0,644,1900
الرياض,جنوب الرياض,حي عكاظ,شمال,سكني,20.0,360,1240
الرياض,غرب الرياض,حي المهدية,4 شوارع,,15.0,829,844
الرياض,شمال الرياض,حي السليمانية,جنوب,سكني,15.0,613,3100
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20.0,750,700
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,16.0,441,2400
الخبر,,حي التحلية,شمال غربي,سكني,15.0,790,1500
الرياض,شمال الرياض,حي الملقا,غرب,,20.0,900,3800
الرياض,شمال الرياض,حي العارض,غرب,سكني,15.0,1200,2000
الخبر,,حي الرجاء,شرق,,15.0,345,1014
الرياض,شمال الرياض,حي الندى,شمال,سكني,15.0,420,3900
الرياض,غرب الرياض,حي عرقة,شرق,سكني,20.0,525,3100
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20.0,1055,3400
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20.0,343,4200
الرياض,شمال الرياض,حي العقيق,شمال شرقي,سكني,20.0,1030,2912
جدة,شمال جدة,حي الزمرد,غرب,سكني,25.0,1680,446
الدرعية,,حي الدرعية الجديدة,شرق,سكني أو تجاري,30.0,600,1750
الدرعية,,حي الخالدية,3 شوارع,سكني,25.0,3680,3500
الرياض,شمال الرياض,حي العقيق,جنوب غربي,سكني,20.0,900,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15.0,810,3000
ثول,,حي ثول,شمال,سكني,16.0,900,255
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,918,3000
الرياض,غرب الرياض,حي الخزامى,4 شوارع,سكني,20.0,7000,3300
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60.0,6200,7500
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,20.0,1590,3400
الرياض,شمال الرياض,حي النرجس,جنوب,سكني أو تجاري,36.0,1800,3900
الرياض,شمال الرياض,حي السليمانية,شمال,تجاري,61.0,720,8000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,15.0,616,3000
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني,15.0,312,2100
الرياض,شرق الرياض,حي المونسية,شرق,سكني,18.0,300,2450
جازان,,حي الروابي,شرق,,20.0,1051,285
الخرج,,حي مشرف,جنوب,سكني,25.0,780,359
الرياض,شمال الرياض,حي العليا,شمال,سكني,10.0,400,3000
